VOC_id,VOC_name,molecular weight
VOC01,alcohols,46.2
VOC02,ethane,30
VOC03,propane,44
VOC04,butanes,57.8
VOC05,pentanes,72
VOC06,hexanes_plus_higher_alkanes,106.8
VOC07,ethene,28
VOC08,propene,42
VOC09,ethyne,26
VOC12,other_alkenes_and_alkynes,67
VOC13,benzene,78
VOC14,toluene,92
VOC15,xylene,106
VOC16,trimethylbenzenes,120
VOC17,other_aromatics,126.8
VOC18,esters,104.7
VOC19,ethers,81.5
VOC20,chlorinated_hydrocarbons,138.8
VOC21,methanal,30
VOC22,other_alkanals,68.8
VOC23,ketones,75.3
VOC24,acids,59.1
VOC25,other_voc,68.9
C2H6,C2H6,30.07
CH3OH,CH3OH,32.04
C2H5OH,C2H5OH,46.07
C3H8,C3H8,44.1
C2H2,C2H2,26.04
C2H4,C2H4,28.05
C3H6,C3H6,42.08
C5H8,C5H8,68.12
C10H16,C10H16,136.24
C7H8,C7H8,92.14
C6H6,C6H6,78.11
C8H10,C8H10,106.17
Toluene-lump,Toluene-lump,12
Higher-Alkenes,Higher-Alkenes,12
Higher-Alkanes,Higher-Alkanes,12
HCN,HCN,27.02
CH2O,CH2O,30.03
C2H4O,C2H4O,44.05
C3H6O,C3H6O,58.08
C2H6S,C2H6S,62.07
HCOOH,HCOOH,47.02
CH3COOH,CH3COOH,60.05
MEK,MEK,72.11
CH3COCHO,CH3COCHO,72.06
HOCH2CHO,HOCH2CHO,60.05
